Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,popularity,Daily Streams
1617,0.268,https://api.spotify.com/v1/audio-analysis/0RDgqtvOHLwcI6yz9bjsZV,Rich Music LTD,0.711,218587.0,0.757,0RDgqtvOHLwcI6yz9bjsZV,0.0,1.0,0.367,-4.188,0.0,0.29,215554357,174.013,4.0,https://api.spotify.com/v1/tracks/0RDgqtvOHLwcI6yz9bjsZV,Perreo en La Luna,audio_features,spotify:track:0RDgqtvOHLwcI6yz9bjsZV,0.724,2019,60.0,"37,420"
1618,0.639,https://api.spotify.com/v1/audio-analysis/7lakl3bPRdQqUGX9m755jX,Lil Dicky,0.694,281500.0,0.664,7lakl3bPRdQqUGX9m755jX,0.0,2.0,0.0929,-4.649,1.0,0.05,215363702,95.941,4.0,https://api.spotify.com/v1/tracks/7lakl3bPRdQqUGX9m755jX,Earth,audio_features,spotify:track:7lakl3bPRdQqUGX9m755jX,0.676,2019,56.0,"23,444"
1619,0.00873,https://api.spotify.com/v1/audio-analysis/7yfi8B8opXjnRh4VZnOkz9,Jonas Brothers,0.683,167107.0,0.598,7yfi8B8opXjnRh4VZnOkz9,0.0,0.0,0.156,-5.487,1.0,0.0424,215208318,78.969,4.0,https://api.spotify.com/v1/tracks/7yfi8B8opXjnRh4VZnOkz9,Cool,audio_features,spotify:track:7yfi8B8opXjnRh4VZnOkz9,0.624,2019,57.0,"16,952"
1620,0.144,https://api.spotify.com/v1/audio-analysis/3AMxuq6id3YGB57eWeheZQ,Young T & Bugsey,0.959,201960.0,0.508,3AMxuq6id3YGB57eWeheZQ,9.82e-05,2.0,0.136,-7.857,1.0,0.257,214795948,107.998,4.0,https://api.spotify.com/v1/tracks/3AMxuq6id3YGB57eWeheZQ,Don't Rush,audio_features,spotify:track:3AMxuq6id3YGB57eWeheZQ,0.346,2019,52.0,"36,670"
1621,0.102,https://api.spotify.com/v1/audio-analysis/3H9GDhVVTlmFQSmpt51qiP,Paulo Londra,0.86,268794.0,0.697,3H9GDhVVTlmFQSmpt51qiP,0.0,1.0,0.159,-4.727,1.0,0.0718,214772547,129.978,4.0,https://api.spotify.com/v1/tracks/3H9GDhVVTlmFQSmpt51qiP,Solo Pienso En Ti,audio_features,spotify:track:3H9GDhVVTlmFQSmpt51qiP,0.586,2019,61.0,"64,288"
1622,0.769,https://api.spotify.com/v1/audio-analysis/621hMmYrgWG3caSFtbZg2p,Drake,0.854,163121.0,0.554,621hMmYrgWG3caSFtbZg2p,1.84e-06,8.0,0.0749,-4.684,1.0,0.172,214733379,142.072,4.0,https://api.spotify.com/v1/tracks/621hMmYrgWG3caSFtbZg2p,Behind Barz,audio_features,spotify:track:621hMmYrgWG3caSFtbZg2p,0.272,2019,58.0,"23,371"
1623,0.699,https://api.spotify.com/v1/audio-analysis/7McCAKExE8KsI2q4Y8wx4U,Murilo Huff,0.705,172751.0,0.56,7McCAKExE8KsI2q4Y8wx4U,0.0,1.0,0.857,-4.098,1.0,0.036,214340589,105.027,4.0,https://api.spotify.com/v1/tracks/7McCAKExE8KsI2q4Y8wx4U,Dois Enganados,audio_features,spotify:track:7McCAKExE8KsI2q4Y8wx4U,0.502,2019,71.0,"246,555"
1624,0.543,https://api.spotify.com/v1/audio-analysis/1O4dGIPUXUanseRdv4fNzw,Alejandro Sanz,0.582,239972.0,0.659,1O4dGIPUXUanseRdv4fNzw,0.0,8.0,0.0656,-7.511,1.0,0.114,214178961,155.957,4.0,https://api.spotify.com/v1/tracks/1O4dGIPUXUanseRdv4fNzw,Mi Persona Favorita,audio_features,spotify:track:1O4dGIPUXUanseRdv4fNzw,0.583,2019,61.0,"52,159"
1625,0.171,https://api.spotify.com/v1/audio-analysis/3D2H0RZzOXziswr9UHbpyb,John K,0.958,145316.0,0.376,3D2H0RZzOXziswr9UHbpyb,0.0,8.0,0.13,-7.063,1.0,0.0523,213715403,107.964,4.0,https://api.spotify.com/v1/tracks/3D2H0RZzOXziswr9UHbpyb,if we never met,audio_features,spotify:track:3D2H0RZzOXziswr9UHbpyb,0.331,2019,55.0,"33,224"
1626,0.0651,https://api.spotify.com/v1/audio-analysis/1kMUGCt7XLDc5Q64Vl0H8S,Residente,0.774,257865.0,0.851,1kMUGCt7XLDc5Q64Vl0H8S,0.0,11.0,0.0568,-2.795,0.0,0.255,213432016,180.086,4.0,https://api.spotify.com/v1/tracks/1kMUGCt7XLDc5Q64Vl0H8S,Bellacoso,audio_features,spotify:track:1kMUGCt7XLDc5Q64Vl0H8S,0.695,2019,59.0,"38,749"
